[@relation iris-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6

@attribute petallength {0-5.5,5.5-6.7,'\'(4.933333-inf)\''}
@attribute petalwidth {'\'(-inf-0.9]\'','\'(0.9-1.7]\'','\'(1.7-inf)\''}
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0-5.5,'\'(-inf-0.9]\'',Iris-setosa
0-5.5,'\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
'\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(1.7-inf)\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
'\'(4.933333-inf)\'','\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
'\'(4.933333-inf)\'','\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
5.5-6.7,'\'(0.9-1.7]\'',Iris-versicolor
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
5.5-6.7,'\'(0.9-1.7]\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
'\'(4.933333-inf)\'','\'(0.9-1.7]\'',Iris-virginica
'\'(4.933333-inf)\'','\'(1.7-inf)\'',Iris-virginica
5.5-6.7,'\'(1.7-inf)\'',Iris-virginica
